ds,Divorce,Forecast,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper
2018-05-01,7865.0,7433.897140577777,10808.4,0,6844.602749259182,8002.260124951341,7274.904193672189,7274.904193672189
2018-06-01,7178.0,7347.471672857363,10808.4,0,6784.617455193097,7903.454025620752,7274.852398458621,7274.852398458621
2018-07-01,6754.0,6990.394210439811,10808.4,0,6396.129015524558,7514.146333524349,7274.781725936521,7274.781725936521
2018-08-01,7597.0,7089.966991650931,10808.4,0,6541.17341989159,7676.301954163304,7274.708696900041,7274.708696900041
2018-09-01,6829.0,7070.374033335345,10808.4,0,6448.785843498895,7650.927974789765,7274.635667087419,7274.635667087419
2018-10-01,7337.0,7335.961850131677,10808.4,0,6733.740153209125,7926.271057517877,7274.5649923362325,7274.5649923362325
2018-11-01,7373.0,7031.267208614773,10808.4,0,6493.242038638173,7608.300905334115,7274.491960996427,7274.491960996427
2018-12-01,6917.0,7105.306724649732,10808.4,0,6514.277228662193,7680.708040760566,7274.421284767363,7274.421284767363
2019-01-01,8028.0,7618.836312232115,10808.4,0,7011.347183043939,8230.743916109212,7274.34825190047,7274.34825190047
2019-02-01,7123.0,7081.597608762493,10808.4,0,6506.516648018757,7641.0230715265625,7274.275218591357,7274.275218591357
2019-03-01,7413.0,7519.2201585901785,10808.4,0,6917.8272883798045,8100.71551843362,7274.209252354843,7274.209252354843
2019-04-01,7727.0,7573.8175453224685,10808.4,0,6938.653149231799,8136.78847792767,7274.136217568836,7274.136217568836
2019-05-01,7554.0,7404.589609700558,10808.4,0,6838.268301652737,7978.986971089671,7274.065538004851,7274.065538004851
2019-06-01,7375.0,7327.449493562754,10808.4,0,6734.378089748121,7887.826083258715,7273.992501691973,7273.992501691973
2019-07-01,7150.0,6957.756460458759,10808.4,0,6354.198025102017,7524.788309824505,7273.921820650398,7273.921820650398
2019-08-01,6998.0,7116.947076264384,10808.4,0,6530.919146028619,7745.722890646254,7273.848785460548,7273.848785460548
2019-09-01,7075.0,7095.181104168792,10808.4,0,6547.350033947997,7676.596217927085,7273.77574949488,7273.77574949488
2019-10-01,7366.0,7319.966650169582,10808.4,0,6715.683065672656,7895.160823679337,7273.7050687894425,7273.7050687894425
2019-11-01,7019.0,7011.763461779235,10808.4,0,6397.357404540477,7622.904559484951,7273.6320312972275,7273.6320312972275
2019-12-01,6930.0,7128.289530910259,10808.4,0,6542.237848486416,7703.025383434527,7273.561349114527,7273.561349114527
2020-01-01,7675.0,7621.880955195759,10808.4,0,7098.592814119876,8227.707531493523,7273.48831009585,7273.48831009585
2020-02-01,7239.0,7063.063177725148,10808.4,0,6528.337462384095,7590.191627499519,7273.4152703013915,7273.4152703013915
2020-03-01,7469.0,7679.65661294035,10808.4,0,7109.660832462195,8271.31599362019,7282.105320343561,7282.105320343561
2020-04-01,3275.0,7276.898673118862,10808.4,0,6684.630086386692,7868.385011208619,7291.382484698816,7291.382484698816
2020-05-01,6704.0,7511.270100684316,10808.4,0,6935.272780144126,8037.135750017036,7300.348341471469,7300.348341471469
2020-06-01,8037.0,7419.191932435543,10808.4,0,6827.68174805315,8008.06226051217,7309.600570910651,7309.600570910651
2020-07-01,7783.0,7100.370966912125,10808.4,0,6534.13855587702,7644.6718442575475,7318.542213604341,7318.542213604341
2020-08-01,7651.0,7090.090834799592,10808.4,0,6506.865279064898,7634.513490386168,7327.769336135397,7327.769336135397
2020-09-01,7721.0,7080.402025741301,10808.4,0,6497.885790178609,7690.317258466098,7336.983634278202,7336.983634278202
2020-10-01,7725.0,7439.230153810519,10808.4,0,6910.669114353864,8058.149092069255,7349.645154707376,7349.645154707376
2020-11-01,7719.0,7157.984613439759,10808.4,0,6588.770572425968,7718.316076364047,7362.7029961179705,7362.7029961179705
2020-12-01,7328.0,7159.254178755137,10808.4,0,6567.816632943686,7783.734677557976,7375.314602787891,7375.314602787891
2021-01-01,7125.0,7722.527152172292,10808.4,0,7185.002855408944,8307.016102444057,7388.3206302925555,7388.3206302925555
2021-02-01,7288.0,7242.866581326638,10808.4,0,6646.827840264908,7834.798116844647,7401.300147210078,7401.300147210078
2021-03-01,8164.0,7758.213038655422,10808.4,0,7159.652269756062,8374.961848933566,7413.000696540086,7413.000696540086
2021-04-01,7608.0,7515.74204732365,10808.4,0,6915.696000578826,8088.061807395566,7425.929430543272,7425.929430543272
2021-05-01,6731.0,7629.770371431146,10808.4,0,6998.760628335571,8184.342051336115,7443.97453697226,7443.97453697226
2021-06-01,6768.0,7553.909696982076,10808.4,0,6951.139386708939,8148.610279511483,7462.565583659139,7462.565583659139
2021-07-01,6098.0,7228.793065049711,10808.4,0,6623.211263654076,7818.764847454959,7480.502830230686,7480.502830230686
2021-08-01,5800.0,7287.304800196214,10808.4,0,6713.0345443840715,7851.905465482215,7498.98176640385,7498.98176640385
2021-09-01,6685.0,7287.133821443446,10808.4,0,6703.114271817366,7859.205398301334,7517.403235902717,7517.403235902717
2021-10-01,7276.0,7611.018081155025,10808.4,0,7033.974489245926,8164.59007149952,7535.175443034362,7535.175443034362
2021-11-01,8024.0,7329.315086804696,10808.4,0,6738.1429041402425,7901.885053548178,7553.482891489543,7553.482891489543
2021-12-01,7925.0,7378.424555003842,10808.4,0,6845.751590748399,7952.236333559309,7571.144163982542,7571.144163982542
2022-01-01,8272.0,7929.094101302944,10808.4,0,7368.4777198493575,8534.40310487553,7589.336379579761,7589.336379579761
2022-02-01,7335.0,7432.108870002334,10808.4,0,6857.26820018174,7994.243957613169,7607.469583857008,7607.469583857008
2022-03-01,7567.0,7918.152050350002,10808.4,0,7334.151406284074,8473.956147767238,7623.796994185322,7623.796994185322
2022-04-01,7654.0,7836.38558498186,10808.4,0,7274.244641737535,8411.225672442379,7641.81707389272,7641.81707389272
2022-05-01,8131.0,7818.191821037802,10808.4,0,7235.993626767163,8398.772529686546,7659.198874131899,7659.198874131899
2022-06-01,8128.0,7749.7201841365795,10808.4,0,7114.005995544904,8347.054633398722,7677.100909737579,7677.100909737579
2022-07-01,7153.0,7409.980440212964,10808.4,0,6788.500687627191,7977.931792302993,7694.36795570975,7694.36795570975
2022-08-01,8324.0,7527.409182329733,10808.4,0,6936.647342364868,8107.387005270931,7712.150887578867,7712.150887578867
2022-09-01,8680.0,7525.611265466579,10808.4,0,6974.930743931126,8110.848725538822,7729.872899218917,7729.872899218917
2022-10-01,9007.0,7808.36184487745,10808.4,0,7223.961920502637,8383.892224329658,7746.964987081877,7746.964987081877
2022-11-01,8423.0,7521.341626948206,10808.4,0,6971.475374907095,8160.216298881784,7764.566379330071,7764.566379330071
2022-12-01,8217.0,7612.42671346419,10808.4,0,7007.194768599985,8240.35806827983,7781.541273581958,7781.541273581958
2023-01-01,8214.0,8143.509156321439,10808.4,0,7573.340788545469,8697.707730600405,7799.021095989969,7799.021095989969
2023-02-01,7622.0,7623.761176803556,10808.4,0,7041.783667491346,8163.910398502637,7816.4387866327925,7816.4387866327925
2023-03-01,8649.0,8077.128206681061,10808.4,0,7517.213253097031,8694.395156568607,7832.1173004459415,7832.1173004459415
2023-04-01,8530.0,8149.097441114196,10808.4,0,7565.2519120417965,8755.10563519753,7849.41611336064,7849.41611336064
2023-05-01,8318.0,7996.621199069243,10808.4,0,7408.494544172475,8573.692717570397,7866.097127373689,7866.097127373689
2023-06-01,7750.0,7936.729195259013,10808.4,0,7351.1426393646325,8495.388618237352,7883.272203388706,7883.272203388706
2023-07-01,7641.0,7583.667719072694,10808.4,0,7011.891550496757,8131.105807081619,7899.8330792645675,7899.8330792645675
2023-08-01,7735.0,7759.9819082111435,10808.4,0,7140.692954957991,8344.447700597539,7916.883617407559,7916.883617407559
2023-09-01,7380.0,7755.275927151249,10808.4,0,7197.911987695699,8319.579079771958,7933.870572477414,7933.870572477414
2023-10-01,8090.0,7996.510423759957,10808.4,0,7448.930102250346,8558.681640377308,7950.248842379535,7950.248842379535
2023-11-01,7024.0,7705.241562295962,10808.4,0,7100.433157685895,8298.746424244064,7967.110131813959,7967.110131813959
2023-12-01,7667.0,7838.094630239204,10808.4,0,7234.649302629139,8465.567709734723,7983.366448443447,7983.366448443447
2024-01-01,7919.0,8348.494022380288,10808.4,0,7779.940197128657,8918.622085126397,8000.101377280184,8000.101377280184
2024-02-01,7854.0,7806.419744552233,10808.4,0,7240.473029113071,8360.84008029984,8016.771837128336,8016.771837128336
2024-03-01,7803.0,8429.859567113373,10808.4,0,7893.808932342833,8992.162227174445,8032.308274516081,8032.308274516081
2024-04-01,8289.0,8034.369685118426,10808.4,0,7491.745799025669,8623.473053582864,8048.853496698923,8048.853496698923
2024-05-01,8202.0,8275.724938050755,10808.4,0,7716.641582984384,8822.817138578866,8064.803178837899,8064.803178837899
2024-06-01,7617.0,8190.811851038516,10808.4,0,7604.229605747951,8716.067589261676,8081.220489513675,8081.220489513675
2024-07-01,8108.0,7878.874868181968,10808.4,0,7323.951875642979,8487.970043709194,8097.0461148737595,8097.0461148737595
2024-08-01,7929.0,7875.65646192892,10808.4,0,7252.432239214571,8488.506124544636,8113.334963264695,8113.334963264695
2024-09-01,7618.0,7872.976720907765,10808.4,0,7304.779230055776,8427.069423545961,8129.558329445004,8129.558329445004
2024-10-01,8618.0,8234.78089333681,10808.4,0,7665.0268690603825,8784.905174218433,8145.195894233385,8145.195894233385
2024-11-01,7953.0,7956.571661143539,10808.4,0,7393.393912788738,8508.686653510664,8161.290043822258,8161.290043822258
2024-12-01,7444.0,7960.741913650904,10808.4,0,7355.537066022848,8525.98638064828,8176.80233768409,8176.80233768409
2025-01-01,,8526.973342450658,10808.4,0,7940.8964201904,9081.199905432402,8192.766820570661,8192.766820570661
2025-02-01,,8050.231681520059,10808.4,0,7463.971046263771,8597.597335601622,8208.64938786752,8208.649387867521
2025-03-01,,8568.180598258607,10808.4,0,8054.883162717966,9168.819164522429,8222.620754043615,8223.161016619688
2025-04-01,,8328.553305515437,10808.4,0,7752.398763361501,8879.780494302453,8237.664444708127,8239.607219931537
2025-05-01,,8439.73700869918,10808.4,0,7821.231328389578,9002.855520814514,8252.088313447908,8255.793975106524
2025-06-01,,8360.92710765606,10808.4,0,7759.354287685644,8972.723737313192,8266.643886485288,8273.134469175691
2025-07-01,,8032.947158299032,10808.4,0,7455.689807047331,8607.200518956322,8280.547759782528,8289.422511330898
2025-08-01,,8088.4908496017915,10808.4,0,7539.1216737817795,8647.922496150462,8294.949857485683,8306.423482604836
2025-09-01,,8085.342647903177,10808.4,0,7452.254951865829,8713.091593775784,8308.414055671112,8323.224872101158
2025-10-01,,8406.337226948724,10808.4,0,7843.926778410561,9008.34157425246,8321.616192898107,8339.46605607395
2025-11-01,,8121.639698619022,10808.4,0,7521.32039799205,8701.449093057654,8335.4339900747,8356.714566011628
2025-12-01,,8167.843213521603,10808.4,0,7587.392790312324,8741.55213079867,8348.518460557812,8373.341672097735
2026-01-01,,8715.501904970999,10808.4,0,8113.5589319405835,9302.15357006904,8361.822174302453,8390.965258828448
2026-02-01,,8215.49790170808,10808.4,0,7641.981928144294,8786.671160543312,8374.799192294297,8408.675331143608
2026-03-01,,8698.807854673409,10808.4,0,8117.292906769179,9253.428140087402,8386.287047717644,8424.23167426821
2026-04-01,,8614.008246782863,10808.4,0,8061.567243385379,9165.381475177039,8399.026217985522,8441.772903953612
2026-05-01,,8592.87233885455,10808.4,0,8027.539104529176,9179.252110954516,8411.401929590244,8459.15199776749
2026-06-01,,8521.353656531455,10808.4,0,7972.148648449304,9136.795571449078,8423.704526898078,8476.078092945972
2026-07-01,,8178.658780824603,10808.4,0,7643.568244537016,8747.141292319284,8435.466093810872,8492.854351987946
2026-08-01,,8293.027536718122,10808.4,0,7689.040250560265,8860.90390045041,8447.889400384092,8510.044958328066
2026-09-01,,8288.163422940632,10808.4,0,7687.169150513573,8862.079269369564,8460.132118449403,8526.844431982347
2026-10-01,,8567.94103224855,10808.4,0,8029.13489664283,9134.824409267378,8471.815419308148,8543.106268125986
2026-11-01,,8277.843110113698,10808.4,0,7676.769453794238,8886.243421124582,8484.057038744,8560.057165779024
2026-12-01,,8365.944545630291,10808.4,0,7766.081963972448,8953.536293116375,8495.99924693391,8576.577185669534
2027-01-01,,8893.938715182532,10808.4,0,8332.623892291007,9476.483229892907,8507.474161582568,8594.023046208424
2027-02-01,,8371.09744743436,10808.4,0,7762.812754242999,8939.423149466582,8518.567976445327,8611.106234223078
2027-03-01,,8821.666427322843,10808.4,0,8250.609700578496,9384.707654191625,8529.273379484774,8626.829465888008
2027-04-01,,8890.53348603456,10808.4,0,8300.079590026808,9469.780920690495,8539.973035059065,8643.208187270237
2027-05-01,,8735.05101600049,10808.4,0,8108.154763557647,9332.874176291161,8550.94013833319,8660.531722003132
2027-06-01,,8672.048544557227,10808.4,0,8091.31396484858,9238.973662809494,8561.072907169757,8677.144550464338
2027-07-01,,8315.973253131477,10808.4,0,7749.383572619806,8898.722486903487,8571.638811597253,8694.08481465063
2027-08-01,,8489.169583343511,10808.4,0,7915.252370846884,9077.78215549529,8581.869855607858,8711.689928907459
2027-09-01,,8481.342328546481,10808.4,0,7912.991973272001,9069.028101723516,8591.62038156093,8728.885207588648
2027-10-01,,8719.553201097488,10808.4,0,8143.862627399949,9291.814533117082,8600.653258718652,8745.923868004198
2027-11-01,,8425.15701072876,10808.4,0,7852.847311483153,9029.945814806062,8611.851884310585,8763.205938216859
2027-12-01,,8554.981017581074,10808.4,0,7974.039862421366,9154.640986665623,8622.677704108955,8779.236465164855
2028-01-01,,9062.247896345309,10808.4,0,8462.52061979334,9649.27693532669,8633.216102050706,8795.584628515353
2028-02-01,,8517.038800090677,10808.4,0,7913.7506683377815,9047.467584698283,8642.206833753147,8812.578683513399
2028-03-01,,9137.544158679899,10808.4,0,8528.640131906848,9749.672369142354,8651.064131813331,8827.886341558193
2028-04-01,,8738.91562026659,10808.4,0,8124.797970243113,9315.769647828252,8661.083509272528,8843.50368581657
2028-05-01,,8977.231877063423,10808.4,0,8370.453214332329,9545.058470928676,8672.56657270574,8859.900824690125
2028-06-01,,8889.177063696943,10808.4,0,8295.577722211627,9481.423009767053,8682.134532720209,8875.996975765449
2028-07-01,,8574.198514978649,10808.4,0,7967.41107965622,9134.046531877504,8690.894858660291,8892.020207802252
2028-08-01,,8567.836138181998,10808.4,0,7984.153871822921,9156.143575871927,8700.618959351084,8909.533474607593
2028-09-01,,8562.01159826795,10808.4,0,7987.883152690205,9142.284189155931,8710.17170081091,8926.179312532227
2028-10-01,,8920.771824147841,10808.4,0,8333.615578069033,9505.877466290736,8719.083898534627,8942.237696986918
2028-11-01,,8639.416768681825,10808.4,0,8006.024605753246,9257.951893218074,8728.898634514006,8958.595166199202
2028-12-01,,8640.542467978217,10808.4,0,8018.511651764743,9222.428586063652,8738.453168915124,8974.224996334522
2029-01-01,,9203.627840612064,10808.4,0,8589.928424217933,9798.202921695844,8747.130158740276,8990.933837912504
2029-02-01,,8723.740303989383,10808.4,0,8133.71279916949,9359.631671018502,8756.101009284139,9005.954068954876
2029-03-01,,9238.848105244198,10808.4,0,8626.885791149429,9824.706262715394,8765.55138918761,9019.933428175298
2029-04-01,,8996.075828312492,10808.4,0,8386.101369646565,9590.046169588317,8773.61976081048,9036.105804260276
2029-05-01,,9104.216713201322,10808.4,0,8517.836881641044,9712.843086336514,8783.560691912686,9052.18205984127
2029-06-01,,9022.263493515567,10808.4,0,8405.547710413295,9583.216252755194,8792.609900635332,9067.353607730733
2029-07-01,,8691.242698428494,10808.4,0,8100.31569130803,9295.346465362962,8801.843802650548,9081.648160115952
2029-08-01,,8743.64547851614,10808.4,0,8162.921828951794,9332.679421200866,8810.384823721703,9096.83412393104
2029-09-01,,8737.357868675388,10808.4,0,8145.891295733143,9314.428459349489,8818.982469766754,9113.336952152407
2029-10-01,,9055.31591703624,10808.4,0,8445.370853096001,9674.960805983987,8828.245381405952,9128.759861651888
2029-11-01,,8767.482479161174,10808.4,0,8163.067826201082,9337.382212493612,8838.964701282393,9144.172940109329
2029-12-01,,8810.65319201468,10808.4,0,8167.384811492684,9427.367721544435,8849.488077145203,9160.003834000141
