Model,Round,ds,Actual,forecast
SARIMAX,Round_1,2010-01-01,6983.0,7559.883844685414
SARIMAX,Round_1,2010-02-01,6314.0,6890.015230910151
SARIMAX,Round_1,2010-03-01,7036.0,7273.843328493038
SARIMAX,Round_1,2010-04-01,7342.0,6865.937089517663
SARIMAX,Round_1,2010-05-01,6909.0,6936.05869508107
SARIMAX,Round_1,2010-06-01,6969.0,7147.464159382023
SARIMAX,Round_1,2010-07-01,6683.0,6827.057949649246
SARIMAX,Round_1,2010-08-01,6374.0,6441.92373664869
SARIMAX,Round_1,2010-09-01,6517.0,6850.366502651277
SARIMAX,Round_1,2010-10-01,6572.0,6772.6026895278455
SARIMAX,Round_1,2010-11-01,6184.0,6595.253497597076
SARIMAX,Round_1,2010-12-01,6561.0,7179.933946654699
SARIMAX,Round_2,2011-01-01,7090.0,7067.030653497108
SARIMAX,Round_2,2011-02-01,6283.0,6636.776878435613
SARIMAX,Round_2,2011-03-01,7087.0,7185.588549914456
SARIMAX,Round_2,2011-04-01,7084.0,7032.138435303403
SARIMAX,Round_2,2011-05-01,7066.0,6832.141904386004
SARIMAX,Round_2,2011-06-01,6926.0,7146.028582766081
SARIMAX,Round_2,2011-07-01,6838.0,6610.268833854893
SARIMAX,Round_2,2011-08-01,6628.0,6614.155670295828
SARIMAX,Round_2,2011-09-01,6295.0,6842.895423379334
SARIMAX,Round_2,2011-10-01,6027.0,6712.032032236064
SARIMAX,Round_2,2011-11-01,6198.0,6618.155185152816
SARIMAX,Round_2,2011-12-01,6744.0,6855.31325447605
SARIMAX,Round_3,2012-01-01,7520.0,7169.051075597421
SARIMAX,Round_3,2012-02-01,7024.0,6432.250344062889
SARIMAX,Round_3,2012-03-01,7150.0,7066.257885805589
SARIMAX,Round_3,2012-04-01,7227.0,7084.833300549184
SARIMAX,Round_3,2012-05-01,7336.0,6907.90042619755
SARIMAX,Round_3,2012-06-01,6879.0,6982.756701367256
SARIMAX,Round_3,2012-07-01,6866.0,6647.446361832988
SARIMAX,Round_3,2012-08-01,6515.0,6561.921503614969
SARIMAX,Round_3,2012-09-01,6048.0,6529.408905166616
SARIMAX,Round_3,2012-10-01,7292.0,6479.942850043471
SARIMAX,Round_3,2012-11-01,6352.0,6363.075762179645
SARIMAX,Round_3,2012-12-01,6018.0,6723.6971682486665
SARIMAX,Round_4,2013-01-01,7478.0,7388.457915428505
SARIMAX,Round_4,2013-02-01,6509.0,6744.112345916835
SARIMAX,Round_4,2013-03-01,7005.0,7215.136285947449
SARIMAX,Round_4,2013-04-01,7292.0,7251.301328989409
SARIMAX,Round_4,2013-05-01,7090.0,7127.099751805096
SARIMAX,Round_4,2013-06-01,6717.0,7097.181208619174
SARIMAX,Round_4,2013-07-01,6640.0,6808.03806041191
SARIMAX,Round_4,2013-08-01,6248.0,6682.9034985042235
SARIMAX,Round_4,2013-09-01,6406.0,6572.13130167037
SARIMAX,Round_4,2013-10-01,6583.0,6865.7241358711535
SARIMAX,Round_4,2013-11-01,6115.0,6508.892313256741
SARIMAX,Round_4,2013-12-01,5796.0,6674.036451336751
SARIMAX,Round_5,2014-01-01,6800.0,7042.255139273355
SARIMAX,Round_5,2014-02-01,6243.0,6553.542967579529
SARIMAX,Round_5,2014-03-01,7084.0,6875.030620229727
SARIMAX,Round_5,2014-04-01,7370.0,7100.808795861601
SARIMAX,Round_5,2014-05-01,7243.0,6913.62765116954
SARIMAX,Round_5,2014-06-01,7140.0,6753.928568837739
SARIMAX,Round_5,2014-07-01,6911.0,6561.010327203573
SARIMAX,Round_5,2014-08-01,6315.0,6316.486214548323
SARIMAX,Round_5,2014-09-01,6634.0,6258.025716126913
SARIMAX,Round_5,2014-10-01,7065.0,6548.314605459445
SARIMAX,Round_5,2014-11-01,6400.0,6139.707036034209
SARIMAX,Round_5,2014-12-01,7063.0,6123.049428344745
SARIMAX,Round_6,2015-01-01,7036.0,7573.899603654653
SARIMAX,Round_6,2015-02-01,6870.0,6685.987764688187
SARIMAX,Round_6,2015-03-01,7366.0,7373.715272487459
SARIMAX,Round_6,2015-04-01,7962.0,7421.730047279375
SARIMAX,Round_6,2015-05-01,6972.0,7316.706148487017
SARIMAX,Round_6,2015-06-01,7363.0,7221.657273568613
SARIMAX,Round_6,2015-07-01,6552.0,6978.283109648612
SARIMAX,Round_6,2015-08-01,7192.0,6726.752628549839
SARIMAX,Round_6,2015-09-01,7059.0,6753.030867739373
SARIMAX,Round_6,2015-10-01,6980.0,7006.896726623582
SARIMAX,Round_6,2015-11-01,6858.0,6612.43988937203
SARIMAX,Round_6,2015-12-01,7234.0,6829.943006856743
SARIMAX,Round_7,2016-01-01,7226.0,7650.539533688503
SARIMAX,Round_7,2016-02-01,7013.0,7050.1030250914655
SARIMAX,Round_7,2016-03-01,7934.0,7588.761742032161
SARIMAX,Round_7,2016-04-01,7045.0,7766.88660718445
SARIMAX,Round_7,2016-05-01,7565.0,7476.408748849567
SARIMAX,Round_7,2016-06-01,7236.0,7500.208127110272
SARIMAX,Round_7,2016-07-01,6690.0,7135.419940560324
SARIMAX,Round_7,2016-08-01,7446.0,7077.561675680465
SARIMAX,Round_7,2016-09-01,7040.0,7058.242346394464
SARIMAX,Round_7,2016-10-01,7257.0,7232.449768821983
SARIMAX,Round_7,2016-11-01,7033.0,6912.206317485999
SARIMAX,Round_7,2016-12-01,7165.0,7144.402962385593
SARIMAX,Round_8,2017-01-01,7229.0,7681.590501540549
SARIMAX,Round_8,2017-02-01,6885.0,7122.332946892731
SARIMAX,Round_8,2017-03-01,7595.0,7739.082253107732
SARIMAX,Round_8,2017-04-01,7905.0,7699.221572131537
SARIMAX,Round_8,2017-05-01,7612.0,7596.145225311148
SARIMAX,Round_8,2017-06-01,7144.0,7532.797035383323
SARIMAX,Round_8,2017-07-01,6742.0,7165.001696306692
SARIMAX,Round_8,2017-08-01,7024.0,7206.5131461385645
SARIMAX,Round_8,2017-09-01,7340.0,7126.986676425488
SARIMAX,Round_8,2017-10-01,7270.0,7323.505186554339
SARIMAX,Round_8,2017-11-01,7049.0,7006.546355381627
SARIMAX,Round_8,2017-12-01,7085.0,7213.345143916308
SARIMAX,Round_9,2018-01-01,7888.0,7633.6426598652215
SARIMAX,Round_9,2018-02-01,7365.0,7102.464655615969
SARIMAX,Round_9,2018-03-01,7703.0,7703.977171384313
SARIMAX,Round_9,2018-04-01,7776.0,7796.184652327681
SARIMAX,Round_9,2018-05-01,7865.0,7607.546090194003
SARIMAX,Round_9,2018-06-01,7178.0,7496.16028866259
SARIMAX,Round_9,2018-07-01,6754.0,7132.724993624134
SARIMAX,Round_9,2018-08-01,7597.0,7164.772454328561
SARIMAX,Round_9,2018-09-01,6829.0,7178.13760652877
SARIMAX,Round_9,2018-10-01,7337.0,7327.085491064205
SARIMAX,Round_9,2018-11-01,7373.0,7018.78467948247
SARIMAX,Round_9,2018-12-01,6917.0,7202.516331755426
SARIMAX,Round_10,2019-01-01,8028.0,7784.935298449778
SARIMAX,Round_10,2019-02-01,7123.0,7242.901086840541
SARIMAX,Round_10,2019-03-01,7413.0,7785.048482818645
SARIMAX,Round_10,2019-04-01,7727.0,7858.568997102855
SARIMAX,Round_10,2019-05-01,7554.0,7723.567722182078
SARIMAX,Round_10,2019-06-01,7375.0,7546.992149400337
SARIMAX,Round_10,2019-07-01,7150.0,7174.786932219207
SARIMAX,Round_10,2019-08-01,6998.0,7325.02961055685
SARIMAX,Round_10,2019-09-01,7075.0,7177.63108761687
SARIMAX,Round_10,2019-10-01,7366.0,7407.906415286634
SARIMAX,Round_10,2019-11-01,7019.0,7149.600639558864
SARIMAX,Round_10,2019-12-01,6930.0,7237.321547687256
SARIMAX,Round_11,2020-01-01,7675.0,7770.6357142054885
SARIMAX,Round_11,2020-02-01,7239.0,7169.331926050199
SARIMAX,Round_11,2020-03-01,7469.0,7684.834840292816
SARIMAX,Round_11,2020-04-01,3275.0,7800.373189212989
SARIMAX,Round_11,2020-05-01,6704.0,7637.418610724804
SARIMAX,Round_11,2020-06-01,8037.0,7506.985017289755
SARIMAX,Round_11,2020-07-01,7783.0,7162.455970265002
SARIMAX,Round_11,2020-08-01,7651.0,7202.582371501438
SARIMAX,Round_11,2020-09-01,7721.0,7146.2569974446005
SARIMAX,Round_11,2020-10-01,7725.0,7362.16081126603
SARIMAX,Round_11,2020-11-01,7719.0,7063.451592666255
SARIMAX,Round_11,2020-12-01,7328.0,7170.767639864973
SARIMAX,Round_12,2021-01-01,7125.0,7810.217230150888
SARIMAX,Round_12,2021-02-01,7288.0,7288.42339575212
SARIMAX,Round_12,2021-03-01,8164.0,7707.532420361772
SARIMAX,Round_12,2021-04-01,7608.0,6485.598500766175
SARIMAX,Round_12,2021-05-01,6731.0,7469.68884326566
SARIMAX,Round_12,2021-06-01,6768.0,7699.187722828675
SARIMAX,Round_12,2021-07-01,6098.0,7369.063842616553
SARIMAX,Round_12,2021-08-01,5800.0,7474.072349806962
SARIMAX,Round_12,2021-09-01,6685.0,7410.537202417842
SARIMAX,Round_12,2021-10-01,7276.0,7581.163767603565
SARIMAX,Round_12,2021-11-01,8024.0,7405.176649887264
SARIMAX,Round_12,2021-12-01,7925.0,7277.014465211356
SARIMAX,Round_13,2022-01-01,8272.0,7898.575136618946
SARIMAX,Round_13,2022-02-01,7335.0,7306.608140449872
SARIMAX,Round_13,2022-03-01,7567.0,7845.9468646977775
SARIMAX,Round_13,2022-04-01,7654.0,7380.50132563782
SARIMAX,Round_13,2022-05-01,8131.0,7504.627673093205
SARIMAX,Round_13,2022-06-01,8128.0,7519.255997831065
SARIMAX,Round_13,2022-07-01,7153.0,7123.31989528691
SARIMAX,Round_13,2022-08-01,8324.0,7149.19618060297
SARIMAX,Round_13,2022-09-01,8680.0,7232.139303554218
SARIMAX,Round_13,2022-10-01,9007.0,7487.071860078569
SARIMAX,Round_13,2022-11-01,8423.0,7401.612627772804
SARIMAX,Round_13,2022-12-01,8217.0,7392.091437360296
SARIMAX,Round_14,2023-01-01,8214.0,8259.96867092973
SARIMAX,Round_14,2023-02-01,7622.0,7557.747749874996
SARIMAX,Round_14,2023-03-01,8649.0,8003.365739749662
SARIMAX,Round_14,2023-04-01,8530.0,7545.559806724664
SARIMAX,Round_14,2023-05-01,8318.0,7767.417552675365
SARIMAX,Round_14,2023-06-01,7750.0,7786.103159436701
SARIMAX,Round_14,2023-07-01,7641.0,7325.518943814496
SARIMAX,Round_14,2023-08-01,7735.0,7502.005845023799
SARIMAX,Round_14,2023-09-01,7380.0,7602.054585105156
SARIMAX,Round_14,2023-10-01,8090.0,7859.320742562794
SARIMAX,Round_14,2023-11-01,7024.0,7704.7396389824335
SARIMAX,Round_14,2023-12-01,7667.0,7660.631991022125
SARIMAX,Round_15,2024-01-01,7919.0,8199.807335362515
SARIMAX,Round_15,2024-02-01,7854.0,7615.2683800286595
SARIMAX,Round_15,2024-03-01,7803.0,8151.28444712913
SARIMAX,Round_15,2024-04-01,8289.0,7888.589192509395
SARIMAX,Round_15,2024-05-01,8202.0,7967.198521226356
SARIMAX,Round_15,2024-06-01,7617.0,7912.977823756694
SARIMAX,Round_15,2024-07-01,8108.0,7517.517488456743
SARIMAX,Round_15,2024-08-01,7929.0,7635.346121273294
SARIMAX,Round_15,2024-09-01,7618.0,7650.811415010849
SARIMAX,Round_15,2024-10-01,8618.0,7918.359196259629
SARIMAX,Round_15,2024-11-01,7953.0,7644.316155841055
SARIMAX,Round_15,2024-12-01,7444.0,7710.600886909758
